ticket_id,dia_semana,hora_creacion,categoria,prioridad,seniority_agente,tiempo_resolucion_hrs,incumple_sla
1,Martes,6,Acceso,Alta,Junior,11.08,0
2,Martes,19,Hardware,Media,Junior,10.04,1
3,Martes,14,Software,Baja,Junior,14.8,1
4,Jueves,10,Acceso,Alta,Senior,0.5,0
5,Miércoles,7,Redes,Baja,Junior,27.49,1
6,Martes,20,Acceso,Baja,Junior,15.26,1
7,Domingo,6,Acceso,Media,Junior,8.68,0
8,Martes,18,Acceso,Media,Semi-Senior,9.41,1
9,Sábado,22,Software,Baja,Senior,11.88,0
10,Lunes,10,Redes,Media,Junior,15.3,0
11,Sábado,10,Redes,Baja,Semi-Senior,14.62,0
12,Sábado,23,Acceso,Baja,Junior,16.03,0
13,Lunes,20,Acceso,Alta,Semi-Senior,3.83,0
14,Domingo,3,Acceso,Baja,Semi-Senior,23.98,1
15,Miércoles,7,Software,Baja,Junior,13.16,1
16,Sábado,23,Software,Baja,Junior,24.04,1
17,Miércoles,2,Hardware,Alta,Senior,18.09,1
18,Sábado,21,Redes,Baja,Junior,14.28,1
19,Viernes,20,Hardware,Baja,Semi-Senior,9.18,1
20,Lunes,1,Hardware,Media,Junior,11.99,0
21,Sábado,23,Acceso,Baja,Junior,14.58,0
22,Viernes,11,Software,Baja,Semi-Senior,14.53,1
23,Jueves,5,Hardware,Media,Senior,0.5,0
24,Viernes,1,Hardware,Baja,Semi-Senior,9.02,0
25,Martes,20,Hardware,Alta,Junior,6.1,0
26,Sábado,0,Acceso,Baja,Semi-Senior,8.49,0
27,Viernes,11,Acceso,Baja,Semi-Senior,20.05,1
28,Miércoles,21,Software,Baja,Semi-Senior,11.94,1
29,Jueves,11,Hardware,Baja,Semi-Senior,10.55,0
30,Domingo,16,Hardware,Media,Junior,6.87,0
31,Sábado,9,Software,Baja,Semi-Senior,21.92,1
32,Martes,15,Software,Baja,Semi-Senior,11.58,0
33,Domingo,14,Software,Media,Junior,9.06,1
34,Viernes,14,Redes,Media,Semi-Senior,2.54,0
35,Domingo,18,Software,Baja,Junior,13.12,1
36,Domingo,11,Acceso,Baja,Junior,17.15,1
37,Jueves,22,Redes,Baja,Senior,7.12,0
38,Domingo,19,Software,Baja,Junior,12.88,1
39,Domingo,2,Acceso,Baja,Junior,18.46,1
40,Sábado,4,Software,Media,Semi-Senior,12.67,0
41,Jueves,18,Software,Alta,Senior,0.72,0
42,Martes,6,Redes,Baja,Senior,5.07,0
43,Viernes,20,Acceso,Baja,Semi-Senior,7.11,0
44,Jueves,8,Hardware,Baja,Junior,,1
45,Jueves,6,Software,Baja,Senior,13.65,0
46,Lunes,17,Redes,Baja,Semi-Senior,,1
47,Jueves,3,Acceso,Alta,Junior,25.67,1
48,Lunes,13,Software,Media,Senior,4.84,0
49,Viernes,17,Hardware,Alta,Junior,5.49,0
50,Domingo,8,Acceso,Alta,Junior,4.97,0
51,Sábado,20,Acceso,Baja,Senior,19.15,1
52,Sábado,1,Redes,Media,Semi-Senior,4.59,0
53,Viernes,19,Software,Baja,Junior,13.96,0
54,Viernes,14,Software,Baja,Junior,14.37,1
55,Miércoles,6,Acceso,Alta,Semi-Senior,0.5,0
56,Domingo,11,Software,Baja,Junior,22.53,1
57,Viernes,7,Acceso,Alta,Junior,9.39,1
58,Jueves,14,Hardware,Baja,Semi-Senior,18.41,1
59,Sábado,2,Redes,Alta,Senior,10.77,0
60,Martes,13,Software,Alta,Semi-Senior,0.81,0
61,Sábado,16,Software,Media,Semi-Senior,12.1,0
62,Lunes,3,Redes,Media,Semi-Senior,,0
63,Sábado,17,Hardware,Baja,Semi-Senior,10.68,1
64,Miércoles,7,Hardware,Alta,Junior,12.63,0
65,Domingo,3,Hardware,Alta,Senior,0.5,0
66,Viernes,1,Hardware,Media,Semi-Senior,,0
67,Domingo,5,Hardware,Media,Junior,5.97,0
68,Viernes,21,Acceso,Media,Junior,10.35,0
69,Sábado,9,Software,Alta,Semi-Senior,16.35,0
70,Martes,3,Software,Media,Junior,22.72,0
71,Martes,21,Software,Alta,Junior,15.81,0
72,Miércoles,17,Acceso,Media,Semi-Senior,11.96,1
73,Lunes,11,Redes,Baja,Senior,11.73,0
74,Sábado,1,Hardware,Baja,Semi-Senior,9.92,0
75,Viernes,9,Redes,Baja,Junior,19.79,1
76,Sábado,3,Hardware,Baja,Junior,14.02,0
77,Miércoles,13,Hardware,Baja,Semi-Senior,7.42,1
78,Jueves,15,Redes,Media,Junior,35.05,1
79,Jueves,14,Software,Baja,Semi-Senior,14.97,0
80,Miércoles,7,Acceso,Baja,Junior,,1
81,Viernes,13,Redes,Media,Senior,2.82,0
82,Domingo,22,Software,Alta,Semi-Senior,15.91,1
83,Miércoles,7,Hardware,Media,Junior,10.43,1
84,Viernes,20,Software,Alta,Senior,6.21,0
85,Martes,15,Hardware,Media,Junior,,0
86,Miércoles,12,Hardware,Baja,Junior,12.78,0
87,Viernes,17,Software,Media,Senior,7.23,0
88,Miércoles,14,Hardware,Media,Junior,30.68,1
89,Miércoles,20,Acceso,Baja,Semi-Senior,23.68,1
90,Domingo,23,Software,Baja,Junior,15.43,0
91,Domingo,12,Redes,Media,Junior,8.21,0
92,Viernes,8,Hardware,Baja,Junior,19.46,1
93,Viernes,14,Hardware,Media,Semi-Senior,18.57,0
94,Lunes,12,Acceso,Baja,Semi-Senior,10.14,1
95,Miércoles,0,Acceso,Media,Junior,12.97,0
96,Jueves,6,Redes,Media,Junior,10.7,1
97,Miércoles,8,Hardware,Baja,Senior,9.8,0
98,Miércoles,23,Redes,Baja,Senior,12.39,0
99,Viernes,0,Redes,Media,Semi-Senior,7.81,0
100,Miércoles,11,Hardware,Alta,Senior,2.1,0
101,Sábado,7,Redes,Alta,Semi-Senior,0.72,0
102,Miércoles,23,Redes,Baja,Junior,26.56,1
103,Sábado,10,Acceso,Media,Junior,20.15,0
104,Domingo,18,Acceso,Baja,Junior,11.83,1
105,Jueves,16,Redes,Baja,Senior,9.85,0
106,Viernes,7,Hardware,Baja,Semi-Senior,8.41,0
107,Miércoles,2,Acceso,Media,Semi-Senior,6.97,0
108,Sábado,2,Redes,Baja,Junior,15.09,0
109,Sábado,0,Software,Baja,Semi-Senior,17.8,0
110,Domingo,4,Software,Media,Semi-Senior,3.49,0
111,Sábado,9,Redes,Media,Senior,11.94,0
112,Martes,6,Software,Baja,Junior,15.77,1
113,Lunes,8,Acceso,Baja,Semi-Senior,13.27,1
114,Jueves,6,Hardware,Baja,Junior,13.29,1
115,Domingo,8,Redes,Baja,Semi-Senior,9.16,0
116,Domingo,7,Acceso,Media,Semi-Senior,2.15,0
117,Miércoles,11,Hardware,Baja,Junior,22.8,1
118,Martes,1,Software,Media,Semi-Senior,,0
119,Miércoles,0,Software,Alta,Junior,5.33,0
120,Miércoles,15,Software,Baja,Senior,10.38,0
121,Viernes,22,Software,Alta,Junior,4.54,0
122,Viernes,22,Acceso,Baja,Semi-Senior,17.48,1
123,Viernes,23,Acceso,Baja,Senior,13.01,1
124,Martes,4,Hardware,Baja,Junior,15.07,1
125,Miércoles,2,Redes,Baja,Semi-Senior,19.9,1
126,Lunes,11,Hardware,Baja,Semi-Senior,8.43,1
127,Jueves,7,Redes,Baja,Junior,12.18,0
128,Viernes,21,Software,Media,Semi-Senior,9.22,0
129,Viernes,2,Software,Alta,Semi-Senior,0.5,0
130,Domingo,0,Software,Media,Senior,2.57,0
131,Miércoles,2,Software,Baja,Senior,32.59,1
132,Miércoles,4,Acceso,Media,Semi-Senior,8.7,0
133,Martes,14,Hardware,Media,Semi-Senior,7.78,1
134,Martes,13,Redes,Alta,Senior,37.35,0
135,Viernes,2,Redes,Alta,Semi-Senior,17.45,0
136,Miércoles,0,Acceso,Alta,Junior,8.29,0
137,Lunes,4,Software,Baja,Semi-Senior,16.69,1
138,Jueves,22,Hardware,Media,Senior,1.87,0
139,Miércoles,13,Software,Baja,Semi-Senior,12.47,1
140,Domingo,6,Acceso,Alta,Semi-Senior,8.97,0
141,Miércoles,8,Redes,Baja,Junior,14.37,0
142,Sábado,14,Acceso,Baja,Senior,7.08,0
143,Martes,14,Redes,Baja,Semi-Senior,18.72,1
144,Domingo,9,Hardware,Media,Semi-Senior,7.07,0
145,Jueves,12,Redes,Baja,Junior,14.29,0
146,Viernes,18,Hardware,Baja,Junior,18.15,1
147,Domingo,6,Software,Alta,Semi-Senior,1.68,0
148,Miércoles,16,Software,Alta,Senior,3.0,0
149,Viernes,19,Acceso,Baja,Junior,17.71,1
150,Miércoles,3,Hardware,Baja,Junior,12.14,1
151,Viernes,4,Software,Alta,Junior,19.01,0
152,Jueves,22,Hardware,Alta,Junior,7.24,0
153,Martes,6,Software,Media,Junior,16.48,1
154,Jueves,12,Software,Media,Semi-Senior,3.33,0
155,Sábado,14,Redes,Baja,Senior,15.72,0
156,Lunes,10,Acceso,Alta,Junior,11.43,0
157,Martes,3,Redes,Media,Semi-Senior,3.92,0
158,Jueves,12,Hardware,Media,Junior,6.78,0
159,Sábado,6,Software,Baja,Junior,,1
160,Lunes,18,Acceso,Alta,Junior,9.33,0
161,Sábado,21,Software,Media,Semi-Senior,4.94,0
162,Miércoles,1,Software,Baja,Junior,27.6,1
163,Miércoles,9,Redes,Media,Semi-Senior,7.64,0
164,Viernes,12,Hardware,Media,Junior,10.37,1
165,Martes,20,Acceso,Media,Junior,8.27,0
166,Miércoles,5,Acceso,Media,Junior,21.61,0
167,Domingo,11,Acceso,Media,Senior,12.35,0
168,Sábado,11,Hardware,Alta,Semi-Senior,1.18,0
169,Martes,19,Acceso,Baja,Senior,14.02,0
170,Domingo,10,Hardware,Baja,Junior,19.61,0
171,Miércoles,22,Acceso,Baja,Junior,19.9,1
172,Viernes,6,Software,Media,Junior,12.35,0
173,Jueves,0,Hardware,Media,Junior,4.94,0
174,Viernes,0,Redes,Alta,Semi-Senior,3.11,0
175,Domingo,19,Acceso,Media,Junior,14.52,1
176,Lunes,12,Redes,Media,Junior,10.04,0
177,Miércoles,8,Hardware,Alta,Semi-Senior,0.5,0
178,Domingo,2,Software,Baja,Semi-Senior,16.66,1
179,Lunes,6,Redes,Alta,Senior,3.57,0
180,Lunes,5,Redes,Baja,Junior,19.71,1
181,Sábado,7,Software,Media,Semi-Senior,6.64,0
182,Martes,8,Software,Media,Junior,12.87,1
183,Sábado,4,Hardware,Media,Senior,16.28,0
184,Miércoles,0,Acceso,Baja,Semi-Senior,17.49,1
185,Lunes,18,Redes,Baja,Semi-Senior,29.57,0
186,Domingo,9,Redes,Media,Junior,12.43,1
187,Jueves,11,Hardware,Alta,Semi-Senior,2.23,1
188,Lunes,23,Acceso,Baja,Junior,17.41,1
189,Domingo,14,Hardware,Alta,Semi-Senior,5.5,0
190,Jueves,21,Redes,Baja,Senior,7.66,0
191,Sábado,23,Redes,Media,Senior,2.92,0
192,Sábado,8,Software,Media,Semi-Senior,4.21,0
193,Martes,19,Software,Media,Senior,8.7,0
194,Domingo,16,Acceso,Alta,Junior,15.06,1
195,Lunes,16,Redes,Media,Senior,3.09,0
196,Viernes,19,Redes,Media,Semi-Senior,20.72,1
197,Sábado,11,Software,Baja,Semi-Senior,10.74,0
198,Sábado,6,Hardware,Baja,Senior,4.7,0
199,Martes,1,Hardware,Baja,Senior,23.47,1
200,Jueves,2,Redes,Media,Junior,5.58,0
201,Martes,16,Redes,Baja,Semi-Senior,21.9,1
202,Lunes,4,Acceso,Baja,Junior,19.33,1
203,Domingo,16,Acceso,Baja,Senior,17.6,0
204,Miércoles,23,Software,Baja,Semi-Senior,33.99,1
205,Miércoles,16,Redes,Baja,Junior,11.8,1
206,Domingo,16,Hardware,Alta,Semi-Senior,6.68,0
207,Jueves,1,Acceso,Media,Semi-Senior,9.12,0
208,Sábado,1,Software,Media,Semi-Senior,3.77,0
209,Jueves,21,Software,Media,Junior,10.88,1
210,Sábado,22,Hardware,Baja,Junior,18.75,1
211,Sábado,4,Acceso,Alta,Semi-Senior,1.62,0
212,Miércoles,0,Hardware,Baja,Junior,10.7,0
213,Jueves,0,Software,Baja,Semi-Senior,15.08,1
214,Martes,18,Redes,Media,Semi-Senior,,0
215,Sábado,1,Hardware,Baja,Junior,12.4,1
216,Viernes,20,Software,Media,Semi-Senior,9.22,0
217,Viernes,11,Redes,Baja,Semi-Senior,16.21,0
218,Martes,5,Redes,Media,Semi-Senior,17.34,0
219,Viernes,22,Acceso,Baja,Junior,20.0,1
220,Lunes,3,Acceso,Baja,Semi-Senior,20.09,1
221,Sábado,22,Software,Media,Junior,8.89,0
222,Martes,10,Hardware,Baja,Senior,,0
223,Jueves,23,Redes,Baja,Junior,12.2,1
224,Sábado,16,Acceso,Baja,Senior,11.41,0
225,Martes,5,Acceso,Media,Semi-Senior,8.87,0
226,Miércoles,23,Hardware,Media,Senior,11.96,0
227,Jueves,4,Acceso,Baja,Semi-Senior,7.56,0
228,Miércoles,19,Software,Alta,Junior,,0
229,Sábado,1,Hardware,Alta,Senior,0.5,0
230,Jueves,5,Redes,Media,Junior,9.73,0
231,Viernes,21,Software,Media,Junior,10.27,0
232,Martes,10,Redes,Baja,Junior,31.89,0
233,Sábado,15,Redes,Media,Senior,7.93,0
234,Lunes,15,Acceso,Baja,Semi-Senior,12.03,1
235,Jueves,0,Software,Baja,Semi-Senior,10.65,0
236,Jueves,8,Software,Alta,Semi-Senior,1.72,0
237,Domingo,5,Hardware,Media,Semi-Senior,4.06,0
238,Sábado,15,Software,Baja,Semi-Senior,16.32,1
239,Sábado,2,Hardware,Baja,Junior,14.45,1
240,Miércoles,19,Software,Media,Senior,0.5,0
241,Domingo,3,Redes,Baja,Junior,11.7,1
242,Viernes,18,Hardware,Baja,Junior,18.26,1
243,Miércoles,2,Software,Baja,Semi-Senior,8.02,1
244,Domingo,18,Hardware,Baja,Semi-Senior,9.8,1
245,Miércoles,19,Acceso,Media,Semi-Senior,11.15,1
246,Viernes,6,Acceso,Baja,Junior,16.66,1
247,Domingo,19,Hardware,Media,Junior,5.99,0
248,Domingo,8,Hardware,Baja,Semi-Senior,19.03,1
249,Lunes,0,Redes,Media,Semi-Senior,8.73,0
250,Miércoles,7,Software,Alta,Junior,3.53,0
251,Miércoles,6,Acceso,Media,Semi-Senior,1.09,0
252,Jueves,17,Acceso,Alta,Junior,15.79,1
253,Viernes,7,Software,Alta,Junior,6.62,0
254,Martes,0,Acceso,Baja,Junior,14.61,1
255,Lunes,10,Acceso,Media,Senior,2.83,0
256,Domingo,17,Hardware,Alta,Semi-Senior,5.02,0
257,Domingo,22,Acceso,Baja,Junior,12.6,1
258,Domingo,9,Acceso,Baja,Semi-Senior,13.68,0
259,Lunes,2,Acceso,Alta,Senior,0.5,0
260,Domingo,6,Software,Media,Semi-Senior,12.26,0
261,Domingo,15,Redes,Baja,Senior,7.54,0
262,Viernes,15,Hardware,Baja,Junior,16.62,1
263,Sábado,19,Redes,Media,Senior,1.07,0
264,Sábado,16,Acceso,Media,Semi-Senior,11.79,0
265,Jueves,1,Acceso,Media,Junior,6.81,0
266,Jueves,0,Acceso,Media,Semi-Senior,5.16,0
267,Domingo,15,Redes,Media,Senior,7.78,0
268,Viernes,11,Software,Media,Semi-Senior,,0
269,Domingo,4,Software,Media,Semi-Senior,1.02,0
270,Jueves,4,Hardware,Media,Junior,12.27,0
271,Lunes,22,Redes,Media,Semi-Senior,9.97,0
272,Lunes,8,Software,Baja,Junior,13.79,1
273,Martes,8,Hardware,Baja,Junior,20.7,1
274,Sábado,2,Acceso,Alta,Semi-Senior,,0
275,Viernes,18,Acceso,Baja,Senior,5.37,1
276,Miércoles,15,Hardware,Baja,Semi-Senior,10.05,0
277,Sábado,15,Software,Baja,Junior,14.18,1
278,Miércoles,2,Redes,Alta,Semi-Senior,8.45,0
279,Martes,19,Hardware,Baja,Senior,5.31,0
280,Martes,23,Software,Baja,Semi-Senior,11.55,1
281,Domingo,21,Hardware,Baja,Semi-Senior,16.81,0
282,Jueves,23,Software,Media,Senior,1.4,0
283,Martes,0,Acceso,Baja,Semi-Senior,,1
284,Martes,23,Hardware,Baja,Junior,17.91,1
285,Miércoles,19,Redes,Baja,Junior,12.61,1
286,Jueves,10,Hardware,Alta,Senior,,0
287,Martes,16,Acceso,Baja,Semi-Senior,15.57,1
288,Sábado,7,Acceso,Baja,Junior,19.46,1
289,Martes,3,Software,Media,Semi-Senior,8.01,0
290,Jueves,5,Acceso,Alta,Semi-Senior,1.75,0
291,Domingo,7,Software,Media,Senior,8.81,0
292,Viernes,19,Acceso,Alta,Junior,4.15,0
293,Jueves,2,Software,Alta,Semi-Senior,0.5,0
294,Miércoles,15,Redes,Baja,Senior,10.23,0
295,Viernes,2,Software,Media,Junior,8.81,0
296,Sábado,17,Software,Baja,Junior,,1
297,Lunes,13,Redes,Media,Senior,4.61,0
298,Jueves,17,Software,Baja,Semi-Senior,16.12,0
299,Domingo,1,Software,Baja,Semi-Senior,14.79,1
300,Miércoles,21,Redes,Alta,Semi-Senior,2.42,0
301,Sábado,2,Acceso,Baja,Junior,14.33,1
302,Viernes,15,Hardware,Alta,Senior,7.53,0
303,Sábado,8,Software,Baja,Junior,12.63,1
304,Jueves,3,Acceso,Baja,Junior,18.23,0
305,Martes,0,Hardware,Alta,Junior,8.22,0
306,Domingo,3,Redes,Media,Junior,11.2,0
307,Jueves,0,Software,Media,Senior,4.7,0
308,Lunes,13,Software,Baja,Semi-Senior,17.67,1
309,Jueves,20,Redes,Media,Senior,2.15,0
310,Viernes,15,Software,Media,Semi-Senior,3.89,0
311,Viernes,19,Hardware,Media,Semi-Senior,6.12,0
312,Jueves,23,Hardware,Baja,Semi-Senior,12.09,1
313,Viernes,7,Redes,Alta,Senior,0.99,0
314,Martes,6,Software,Media,Semi-Senior,7.16,0
315,Sábado,2,Acceso,Alta,Junior,7.77,0
316,Jueves,16,Software,Media,Junior,11.0,0
317,Domingo,0,Redes,Media,Junior,32.43,1
318,Martes,15,Acceso,Baja,Semi-Senior,11.11,0
319,Sábado,11,Hardware,Baja,Senior,14.18,0
320,Domingo,18,Hardware,Alta,Junior,8.18,1
